Datetime,Area ID,Area Boss,Remain Count,Capture Type,Capture Status,Sangvis ID,Sangvis Rank,Sangvis Name
2022-11-15 11:26:38,20,Architect,74,SVAROG,O,3001,?,Ripper
2022-11-15 11:26:38,20,Architect,73,SVAROG,O,3007,?,Scout
2022-11-15 11:26:38,20,Architect,72,SVAROG,O,3010,?,Goliath Factory
2022-11-15 11:26:38,20,Architect,71,SVAROG,O,2003,??,Aegis
2022-11-15 11:26:38,20,Architect,70,SVAROG,O,3003,?,Guard
2022-11-15 11:26:43,20,Architect,69,SVAROG,O,3005,?,Striker
2022-11-15 11:26:43,20,Architect,68,SVAROG,O,3007,?,Scout
2022-11-15 11:26:43,20,Architect,67,SVAROG,O,2004,??,Nemeum
2022-11-15 11:26:43,20,Architect,66,SVAROG,O,2002,??,Dragoon
2022-11-15 11:26:43,20,Architect,65,SVAROG,O,3010,?,Goliath Factory
2022-11-15 11:26:43,20,Architect,64,SVAROG,O,2015,??,Jaeger SWAP
2022-11-15 11:26:43,20,Architect,63,SVAROG,O,3009,?,Jaguar
2022-11-15 11:26:43,20,Architect,62,SVAROG,O,3010,?,Goliath Factory
2022-11-15 11:26:43,20,Architect,61,SVAROG,O,3002,?,Vespid
2022-11-15 11:26:43,20,Architect,60,SVAROG,O,3005,?,Striker
2022-11-15 11:26:55,20,Architect,59,SVAROG,O,2003,??,Aegis
2022-11-15 11:26:55,20,Architect,58,SVAROG,O,3005,?,Striker
2022-11-15 11:26:55,20,Architect,57,SVAROG,O,3002,?,Vespid
2022-11-15 11:26:55,20,Architect,56,SVAROG,O,3004,?,Jaeger
2022-11-15 11:26:55,20,Architect,55,SVAROG,O,3008,?,Prowler
2022-11-15 11:26:55,20,Architect,54,SVAROG,O,3005,?,Striker
2022-11-15 11:26:55,20,Architect,53,SVAROG,O,3009,?,Jaguar
2022-11-15 11:26:55,20,Architect,52,SVAROG,O,3007,?,Scout
2022-11-15 11:26:55,20,Architect,51,SVAROG,O,3006,?,Dinergate
2022-11-15 11:26:55,20,Architect,50,SVAROG,O,3007,?,Scout
2022-11-15 11:27:04,20,Architect,49,SVAROG,O,3007,?,Scout
2022-11-15 11:27:06,20,Architect,48,SVAROG,O,3007,?,Scout
2022-11-15 11:27:08,20,Architect,47,SVAROG,O,3008,?,Prowler
2022-11-15 11:27:10,20,Architect,46,SVAROG,O,2001,??,Brute
